player_id,name,games_played,start_price,current_price,exact_price_r3,recent_s1,recent_s2,recent_s3,consistency,last_3_tog_avg,proj_score_fc,break_even_fc,proj_price_r4,be_r4,be_pct_r4,proj_score_r4,proj_price_r5,be_r5,be_pct_r5,proj_score_r5,proj_price_r6,be_r6,be_pct_r6,proj_score_r6,score_r2,score_r3,price_r1,price_r2,price_r3,delta_r3_to_r4,delta_r4_to_r5,delta_r5_to_r6,score_vs_be_r4,implied_ppp_r4
504300,Payne Haas,3,950000,906000,906000,67,75,56,66,69,71,75,919945,75,40,71,901922,71,29,62,892592,76,40,72,75,67,950000,931000,920000,13945,-18023,-9330,-4,-3486.25
504120,Nathan Cleary,3,900000,899000,899000,60,92,57,53,80,72,68,925538,68,43,72,903017,66,43,70,905998,66,44,69,92,60,900000,886000,902000,26538,-22521,2981,4,6634.5
508300,Herbie Farnworth,3,800000,784000,784000,57,67,54,57,80,61,61,796463,61,50,61,782825,60,41,57,778810,63,1,0,67,57,800000,791000,792000,12463,-13638,-4015,0,
502502,Latrell Mitchell,3,723000,760000,760000,56,56,75,62,80,0,55,771430,55,1,0,760000,105,1,59,763454,95,1,59,56,56,723000,743000,757000,11430,-11430,3454,-55,-207.82
504074,Hudson Young,3,766000,750000,750000,71,40,63,52,81,58,56,738122,56,44,58,752025,56,44,58,753579,56,30,63,40,71,766000,770000,752000,-11878,13903,1554,2,-5939.0
502490,Nicholas Hynes,3,700000,743000,743000,63,39,84,57,80,68,53,745474,53,15,68,759055,47,19,60,768647,50,29,58,39,63,700000,732000,737000,2474,13581,9592,15,164.93
500534,Isaah Yeo,3,738000,728000,728000,65,54,52,60,68,57,52,720293,52,35,57,733274,52,35,57,737420,52,38,56,54,65,738000,732000,726000,-7707,12981,4146,5,-1541.4
505582,Dylan Lucas,3,723000,725000,725000,59,52,60,56,80,54,54,722538,54,50,54,724611,56,35,51,718783,60,32,54,52,59,723000,727000,726000,-2462,2073,-5828,0,
504274,Blayke Brailey,3,686000,723000,723000,76,52,61,63,80,54,40,701547,40,15,54,738299,45,26,54,743612,51,36,56,52,76,686000,694000,699000,-21453,36752,5313,14,-1532.36
504176,Cameron Murray,3,725000,709000,709000,49,54,55,37,67,0,59,712735,59,1,0,709000,102,1,49,697610,94,1,43,54,49,725000,723000,721000,3735,-3735,-11390,-59,-63.31
501600,Damien Cook,3,629000,707000,707000,35,53,91,45,72,57,56,739586,56,48,57,707339,57,45,59,708634,57,48,56,53,35,629000,675000,710000,32586,-32247,1295,1,32586.0
505904,Harry Grant,3,645000,702000,702000,44,72,63,46,73,51,48,719871,48,41,51,705223,54,44,56,706779,55,50,55,72,44,645000,659000,693000,17871,-14648,1556,3,5957.0
503528,Jaydn Su'A,3,633000,696000,696000,77,57,59,37,83,56,31,671310,31,5,56,723116,36,11,55,737376,41,18,55,57,77,633000,644000,660000,-24690,51806,14260,25,-987.6
506460,Tanah Boyd,3,500000,695000,695000,86,76,78,29,80,63,4,665344,4,1,63,757951,13,1,60,792921,25,5,59,76,86,500000,542000,611000,-29656,92607,34970,59,-502.64
