player_id,name,games_played,start_price,current_price,exact_price_r9,recent_s1,recent_s2,recent_s3,consistency,last_3_tog_avg,proj_score_fc,break_even_fc,proj_price_r10,be_r10,be_pct_r10,proj_score_r10,proj_price_r11,be_r11,be_pct_r11,proj_score_r11,proj_price_r12,be_r12,be_pct_r12,proj_score_r12,score_r8,score_r9,price_r7,price_r8,price_r9,delta_r9_to_r10,delta_r10_to_r11,delta_r11_to_r12,score_vs_be_r10,implied_ppp_r10
504120,Nathan Cleary,9,900000,938000,938000,82,85,93,51,82,76,58,932556,58,11,76,954622,59,10,78,968744,BYE,BYE,0,85,82,893000,900000,917000,-5444,22066,14122,18,-302.44
505423,Jackson Ford,9,625000,868000,868000,90,87,83,54,77,0,34,842324,34,3,0,868000,100,1,60,894470,104,2,67,87,90,742000,772000,812000,-25676,25676,26470,-34,755.18
500534,Isaah Yeo,9,738000,755000,755000,71,65,67,77,74,57,45,741197,45,14,57,766362,51,26,58,769766,BYE,BYE,0,65,71,719000,725000,734000,-13803,25165,3404,12,-1150.25
506424,Tom Dearden,9,628000,713000,713000,53,75,50,55,80,53,47,718127,47,35,53,717613,54,45,52,712822,59,43,56,75,53,645000,664000,696000,5127,-514,-4791,6,854.5
506460,Tanah Boyd,9,500000,701000,701000,53,45,57,53,80,0,62,706179,62,1,0,701000,104,1,54,691759,92,2,52,45,53,757000,746000,719000,5179,-5179,-9241,-62,-83.53
100001736,Jordan Riki,9,611000,698000,698000,50,62,46,55,80,56,55,707540,55,47,56,697900,56,37,52,692352,BYE,BYE,0,62,50,687000,695000,700000,9540,-9640,-5548,1,9540.0
504087,Scott Drinkwater,9,635000,688000,688000,53,64,37,37,80,55,51,694147,51,41,55,690760,54,50,54,689121,52,44,55,64,53,654000,668000,682000,6147,-3387,-1639,4,1536.75
503340,Dylan Edwards,9,614000,682000,682000,54,92,41,19,82,51,37,685172,37,26,51,694888,43,32,53,700937,BYE,BYE,0,92,54,630000,618000,654000,3172,9716,6049,14,226.57
503685,Erin Clark,9,734000,672000,672000,59,66,70,28,48,0,37,657533,37,1,0,672000,83,2,50,684292,82,3,52,66,59,625000,630000,649000,-14467,14467,12292,-37,391.0
505894,Jake Clifford,9,561000,661000,661000,50,53,31,40,80,51,62,665976,62,24,51,647759,57,29,48,639317,56,31,48,53,50,692000,687000,676000,4976,-18217,-8442,-11,-452.36
500555,Joseph Tapine,9,726000,650000,650000,55,54,51,61,55,49,44,645875,44,35,49,654147,50,1,0,654147,91,1,53,54,55,622000,632000,640000,-4125,8272,0,5,-825.0
505904,Harry Grant,9,645000,644000,644000,63,56,57,46,80,52,38,635302,38,14,52,658397,39,11,55,670634,41,14,55,56,63,645000,630000,628000,-8698,23095,12237,14,-621.29
100001946,Heilum Luki,9,300000,644000,644000,33,69,35,56,80,52,57,674311,57,36,52,636977,56,29,48,628912,55,36,50,69,33,635000,639000,655000,30311,-37334,-8065,-5,-6062.2
505628,Stefano Utoikamanu,9,575000,642000,642000,56,61,43,66,51,47,43,637443,43,35,47,645428,47,39,50,646058,49,43,51,61,56,646000,632000,633000,-4557,7985,630,4,-1139.25
100006297,Sualauvi Faalogo,9,467000,633000,633000,68,43,55,54,79,46,38,611785,38,33,46,640052,43,37,49,642573,47,50,47,43,68,635000,631000,619000,-21215,28267,2521,8,-2651.88
100004833,Xavier Willison,9,468000,624000,624000,49,79,83,4,70,45,22,620641,22,11,45,646595,34,26,46,652646,BYE,BYE,0,79,49,451000,505000,578000,-3359,25954,6051,23,-146.04
100007927,Thomas Jenkins,9,504000,620000,620000,19,31,49,21,82,42,83,652778,83,2,42,574800,79,6,47,550986,BYE,BYE,0,31,19,724000,721000,683000,32778,-77978,-23814,-41,-799.46
502363,Jack Williams,9,634000,611000,611000,46,36,53,71,80,45,53,612745,53,13,45,601036,55,8,45,591082,BYE,BYE,0,36,46,633000,636000,621000,1745,-11709,-9954,-8,-218.12
500485,Mitchell Moses,9,589000,603000,603000,45,55,68,37,80,45,40,607637,40,36,45,606782,44,42,47,608169,BYE,BYE,0,55,45,570000,580000,593000,4637,-855,1387,5,927.4
505976,Isaiah Papali'i,9,607000,597000,597000,37,39,67,49,71,47,54,607818,54,29,47,588506,52,37,48,585101,BYE,BYE,0,39,37,626000,627000,615000,10818,-19312,-3405,-7,-1545.43
502580,James Fisher-Harris,9,582000,588000,588000,47,50,57,59,53,0,42,592576,42,1,0,588000,79,1,43,588136,76,1,44,50,47,602000,592000,587000,4576,-4576,136,-42,-108.95
506018,Corey Horsburgh,9,664000,585000,585000,60,44,69,35,55,47,30,574038,30,12,47,601583,33,1,0,601583,77,3,49,44,60,561000,563000,564000,-10962,27545,0,17,-644.82
504597,Phoenix Crossland,9,498000,570000,570000,34,57,39,61,80,43,47,582676,47,34,43,564012,49,21,41,555820,BYE,BYE,0,57,34,564000,566000,577000,12676,-18664,-8192,-4,-3169.0
501459,Cameron Munster,9,639000,539000,539000,45,36,36,50,80,46,48,538424,48,43,46,535636,42,36,46,539799,38,30,44,36,45,618000,586000,554000,-576,-2788,4163,-2,288.0
508009,Kotoni Staggs,9,573000,538000,538000,25,41,37,44,77,40,60,559293,60,9,40,516128,56,13,39,502393,BYE,BYE,0,41,25,591000,585000,570000,21293,-43165,-13735,-20,-1064.65
507846,Kaeo Weekes,9,467000,535000,535000,56,42,29,31,80,43,35,516879,35,34,43,542721,36,4,0,542721,70,10,45,42,56,532000,530000,523000,-18121,25842,0,8,-2265.12
100003925,Ethan Sanders,9,350000,529000,529000,53,43,46,49,80,45,29,519806,29,6,45,545129,31,1,0,545129,68,1,42,43,53,495000,505000,511000,-9194,25323,0,16,-574.62
500043,Dane Gagai,9,532000,526000,526000,12,17,24,1,80,42,81,561055,81,2,42,483972,72,5,42,462157,BYE,BYE,0,17,12,600000,611000,584000,35055,-77083,-21815,-39,-898.85
501247,Josh King,9,505000,508000,508000,68,37,38,50,57,41,20,478083,20,2,41,529075,24,4,42,541675,27,11,39,37,68,486000,481000,477000,-29917,50992,12600,21,-1424.62
500301,Jason Taumalolo,9,439000,505000,505000,49,33,42,68,44,43,33,500458,33,5,43,513885,33,5,43,520183,32,5,42,33,49,484000,497000,496000,-4542,13427,6298,10,-454.2
100008236,Jermaine McEwen,9,412000,496000,496000,15,40,33,34,78,38,57,524873,57,5,38,475826,55,4,35,458918,BYE,BYE,0,40,15,503000,519000,523000,28873,-49047,-16908,-19,-1519.63
100008940,Jaxon Purdue,9,468000,490000,490000,24,28,36,34,80,38,58,507536,58,6,38,467897,52,10,36,455166,49,26,41,28,24,552000,547000,523000,17536,-39639,-12731,-20,-876.8
503523,Jacob Saifiti,9,451000,485000,485000,19,30,33,38,60,39,61,510075,61,4,39,460351,53,13,39,450521,BYE,BYE,0,30,19,564000,553000,528000,25075,-49724,-9830,-22,-1139.77
504298,Mat Croker,9,500000,481000,481000,32,45,26,60,55,37,43,486755,43,27,37,473576,42,30,37,469667,BYE,BYE,0,45,32,525000,506000,495000,5755,-13179,-3909,-6,-959.17
501461,Moses Leota,9,501000,480000,480000,30,60,36,45,43,37,31,487772,31,26,37,484452,34,42,36,483822,BYE,BYE,0,60,30,458000,454000,474000,7772,-3320,-630,6,1295.33
504573,Ben Talty,9,320000,477000,477000,38,57,64,1,46,40,13,479211,13,4,40,505071,22,15,38,513773,BYE,BYE,0,57,38,306000,367000,433000,2211,25860,8702,27,81.89
100006166,Morgan Smithies,9,487000,477000,477000,43,42,29,61,50,40,31,474999,31,12,40,485587,32,1,0,485587,63,1,39,42,43,469000,466000,468000,-2001,10588,0,9,-222.33
100004534,Ezra Mam,9,475000,475000,475000,29,47,17,3,80,32,44,486024,44,24,32,460823,47,27,37,452889,BYE,BYE,0,47,29,485000,480000,484000,11024,-25201,-7934,-12,-918.67
100006848,Blaize Talagi,9,435000,475000,475000,54,45,63,21,82,33,15,456741,15,8,33,493302,23,14,37,502759,BYE,BYE,0,45,54,421000,428000,442000,-18259,36561,9457,18,-1014.39
504072,Tom Starling,9,571000,472000,472000,44,35,38,40,65,36,30,465012,30,28,36,477558,34,1,0,477558,65,1,37,35,44,464000,463000,463000,-6988,12546,0,6,-1164.67
100004042,Paul Alamoti,9,517000,469000,469000,26,75,25,15,82,33,31,481496,31,45,33,470582,34,47,35,470708,BYE,BYE,0,75,26,455000,434000,462000,12496,-10914,126,2,6248.0
500687,Junior Paulo,9,593000,465000,465000,41,38,39,68,57,38,33,462011,33,33,38,468928,32,29,38,473593,BYE,BYE,0,38,41,481000,469000,462000,-2989,6917,4665,5,-597.8
500005,Roger Tuivasa-Sheck,9,559000,461000,461000,51,32,51,24,80,0,18,445082,18,10,0,461000,55,12,38,480827,51,18,38,32,51,402000,422000,433000,-15918,15918,19827,-18,884.33
504123,Wayde Egan,9,584000,461000,461000,11,35,28,27,51,0,61,493718,61,1,0,461000,83,1,36,434467,69,1,36,35,11,520000,512000,499000,32718,-32718,-26533,-61,-536.36
100008071,Dominic Young,9,440000,461000,461000,26,36,8,1,80,39,56,477421,56,16,39,442041,46,30,37,436489,BYE,BYE,0,36,26,573000,533000,499000,16421,-35380,-5552,-17,-965.94
100008216,Joe Chan,9,311000,459000,459000,9,32,44,1,55,32,62,482855,62,5,32,426085,55,10,32,408326,53,14,33,32,9,562000,540000,509000,23855,-56770,-17759,-30,-795.17
505410,Brian To'o,9,533000,453000,453000,52,81,13,1,82,39,7,439691,7,3,39,485005,9,3,40,507927,BYE,BYE,0,81,52,414000,376000,408000,-13309,45314,22922,32,-415.91
505555,Lindsay Smith,9,670000,452000,452000,43,24,32,60,47,35,38,444906,38,40,35,447970,37,50,37,448222,BYE,BYE,0,24,43,514000,492000,461000,-7094,3064,252,-3,2364.67
500405,Coen Hess,9,462000,451000,451000,33,34,56,37,43,37,30,456523,30,23,37,457736,32,30,37,460131,35,50,35,34,33,399000,425000,441000,5523,1213,2395,7,789.0
500532,Dallin Watene-Zelezniak,9,309000,448000,448000,48,17,37,12,80,0,33,433160,33,2,0,448000,63,5,36,450318,54,17,38,17,48,409000,438000,436000,-14840,14840,2318,-33,449.7
100010997,Will Warbrick,9,426000,430000,430000,17,19,43,1,80,34,53,453265,53,19,34,409278,48,26,34,398942,43,29,31,19,17,507000,499000,471000,23265,-43987,-10336,-19,-1224.47
100013674,Leka Halasima,9,498000,418000,418000,37,23,37,1,72,0,38,414821,38,2,0,418000,60,11,37,416087,50,20,34,23,37,478000,455000,428000,-3179,3179,-1913,-38,83.66
501271,Luke Garner,9,510000,413000,413000,29,34,31,22,59,32,37,420213,37,35,32,406623,35,50,35,407631,BYE,BYE,0,34,29,453000,432000,421000,7213,-13590,1008,-5,-1442.6
500083,Dylan Walker,9,448000,402000,402000,16,8,46,27,43,33,52,423043,52,2,33,380888,46,4,30,368036,BYE,BYE,0,8,16,453000,464000,438000,21043,-42155,-12852,-19,-1107.53
100013815,Cooper Clarke,9,230000,398000,398000,23,41,31,32,44,35,28,410185,28,25,35,405129,30,43,32,405255,30,35,34,41,23,333000,360000,388000,12185,-5056,126,7,1740.71
504148,Sebastian Kris,9,421000,390000,390000,36,35,47,18,80,31,19,389205,19,17,31,401281,22,4,0,401281,52,5,31,35,36,348000,361000,375000,-795,12076,0,12,-66.25
100007650,Deine Mariner,9,421000,389000,389000,-3,45,41,2,70,0,44,428688,44,1,0,389000,67,1,30,373243,BYE,BYE,0,45,-3,378000,392000,413000,39688,-39688,-15757,-44,-902.0
