player_id,name,games_played,start_price,current_price,exact_price_r3,proj_price_r4,proj_price_r5,proj_price_r6,be_r3,be_r4,be_r5,be_pct_r3,be_pct_r4,be_pct_r5,proj_score_r3,proj_score_r4,proj_score_r5,score_r1,score_r2,price_r1,price_r2,price_r3,delta_r3_to_r4,delta_r4_to_r5,delta_r5_to_r6,score_vs_be_r3,implied_ppp_r3,recent_s1,recent_s2,recent_s3,consistency,last_3_tog_avg,proj_score_fc,break_even_fc
504300,Payne Haas,2,950000,920000,914970,919945,922549,916951,75,69,67,47,43,40,76,72,63,56,75,950000,931000,920000,4975,2604,-5598,1,4975.0,75,56,,59,68,76,75
504120,Nathan Cleary,2,900000,902000,879732,925538,944038,954852,58,52,52,15,15,17,80,74,72,57,92,900000,886000,902000,45806,18500,10814,22,2082.09,92,57,,35,62,80,58
508300,Herbie Farnworth,2,800000,792000,781128,796463,801807,802719,60,57,56,38,32,41,64,63,59,54,67,800000,791000,792000,15335,5344,912,4,3833.75,67,54,,56,80,64,60
502502,Latrell Mitchell,2,723000,757000,754212,771430,771430,781325,49,48,99,21,1,2,63,0,61,75,56,723000,743000,757000,17218,0,9895,14,1229.86,56,75,,52,80,63,49
504074,Hudson Young,2,766000,752000,767921,738122,728742,723531,69,68,66,16,18,22,56,56,56,63,40,766000,770000,752000,-29799,-9380,-5211,-13,2292.23,40,63,,52,81,56,69
502490,Nicholas Hynes,2,700000,737000,758146,745474,762144,772172,54,52,45,29,12,15,62,69,60,84,39,700000,732000,737000,-12672,16670,10028,8,-1584.0,39,84,,47,80,62,54
500534,Isaah Yeo,2,738000,726000,724882,720293,715601,712213,60,60,60,32,32,32,54,54,54,52,54,738000,732000,726000,-4589,-4692,-3388,-6,764.83,54,52,,35,54,54,60
505582,Dylan Lucas,2,723000,726000,729875,722538,718501,711208,56,58,59,41,38,27,53,54,51,60,52,723000,727000,726000,-7337,-4037,-7293,-3,2445.67,52,60,,52,80,53,56
504176,Cameron Murray,2,725000,721000,710062,712735,712735,701271,57,61,104,31,1,1,49,0,49,55,54,725000,723000,721000,2673,0,-11464,-8,-334.12,54,55,,35,68,49,57
501600,Damien Cook,2,629000,710000,715940,739586,758092,769691,34,36,40,5,7,8,61,59,62,91,53,629000,675000,710000,23646,18506,11599,27,875.78,53,91,,50,81,61,34
504274,Blayke Brailey,2,686000,699000,699290,701547,699594,694645,50,52,55,41,47,38,53,51,51,61,52,686000,694000,699000,2257,-1953,-4949,3,752.33,52,61,,63,80,53,50
503685,Erin Clark,2,734000,698000,699382,686300,680310,675882,63,61,58,24,30,30,52,53,50,39,53,734000,714000,698000,-13082,-5990,-4428,-11,1189.27,53,39,,31,52,52,63
505904,Harry Grant,2,645000,693000,673586,719871,732253,739422,32,35,43,4,11,14,57,52,58,63,72,645000,659000,693000,46285,12382,7169,25,1851.4,72,63,,46,70,57,32
504174,Keaon Koloamatangi,2,704000,688000,698458,682400,682400,676669,59,56,97,37,1,1,54,0,50,50,47,704000,699000,688000,-16058,0,-5731,-5,3211.6,47,50,,51,71,54,59
500663,James Tedesco,2,684000,687000,698728,681246,676946,676946,56,57,57,39,39,1,51,52,0,61,42,684000,692000,687000,-17482,-4300,0,-5,3496.4,42,61,,23,62,51,56
506603,Patrick Carrigan,2,684000,678000,671698,677913,678043,677261,51,52,52,50,50,46,51,52,51,47,57,684000,677000,678000,6215,130,-782,0,,57,47,,72,65,51,51
506018,Corey Horsburgh,2,664000,677000,690130,679484,681438,681568,52,51,51,44,44,47,54,53,52,63,44,664000,676000,677000,-10646,1954,130,2,-5323.0,44,63,,39,58,54,52
100006258,Isaiya Katoa,2,706000,676000,678549,661887,648600,638700,62,61,62,12,9,9,49,46,47,43,46,706000,693000,676000,-16662,-13287,-9900,-13,1281.69,46,43,,66,80,49,62
100011308,Toby Couchman,2,691000,675000,689763,658115,643777,627484,64,64,64,14,12,7,48,47,42,56,34,691000,693000,675000,-31648,-14338,-16293,-16,1978.0,34,56,,26,54,48,64
501459,Cameron Munster,2,639000,670000,675257,679392,684078,684729,45,45,48,25,30,38,54,52,52,69,46,639000,660000,670000,4135,4686,651,9,459.44,46,69,,59,80,54,45
500555,Joseph Tapine,2,726000,665000,676245,641760,627438,620147,71,66,62,7,10,14,50,48,47,32,40,726000,699000,665000,-34485,-14322,-7291,-21,1642.14,40,32,,36,48,50,71
506314,Beau Fermor,2,672000,665000,662865,673583,675276,677751,52,44,48,30,40,37,60,48,53,48,52,672000,667000,665000,10718,1693,2475,8,1339.75,52,48,,68,80,60,52
501175,Jamal Fogarty,2,687000,664000,664207,664000,654898,647218,57,96,85,1,1,1,0,49,48,43,49,687000,676000,664000,-207,-9102,-7680,-57,3.63,49,43,,52,81,0,57
503528,Jaydn Su'A,2,633000,660000,653066,671310,677174,675089,41,43,46,25,29,45,51,51,48,59,57,633000,644000,660000,18244,5864,-2085,10,1824.4,57,59,,26,85,51,41
100001936,Hamiso Tabuai-Fidow,2,617000,653000,631853,673486,684822,689513,33,36,40,10,16,21,52,51,52,56,67,617000,626000,653000,41633,11336,4691,19,2191.21,67,56,,37,80,52,33
500449,Addin Fonua-Blake,2,661000,651000,663545,639151,629380,621172,58,59,59,22,20,18,47,47,46,54,37,661000,664000,651000,-24394,-9771,-8208,-11,2217.64,37,54,,56,54,47,58
504870,Kalyn Ponga,2,600000,649000,663271,649000,655781,656693,43,86,80,2,4,7,0,49,49,80,36,600000,636000,649000,-14271,6781,912,-43,331.88,36,80,,21,54,0,43
501505,Tom Trbojevic,2,600000,648000,641238,648000,667890,696006,33,78,71,5,10,42,0,52,67,67,57,600000,622000,648000,6762,19890,28116,-33,-204.91,57,67,,30,81,0,33
502363,Jack Williams,2,634000,648000,642843,652624,657053,659789,45,47,46,34,31,31,49,52,51,55,52,634000,640000,648000,9781,4429,2736,4,2445.25,52,55,,72,66,49,45
505423,Jackson Ford,2,625000,645000,617353,665334,677836,682394,33,35,38,9,13,20,52,51,50,44,74,625000,620000,645000,47981,12502,4558,19,2525.32,74,44,,38,73,52,33
505976,Isaiah Papali'i,2,607000,636000,624134,652034,663626,672744,35,38,39,12,14,12,50,52,54,54,62,607000,614000,636000,27900,11592,9118,15,1860.0,62,54,,41,58,50,35
503340,Dylan Edwards,2,614000,633000,647166,636359,640004,642087,48,47,46,44,42,42,51,51,50,64,38,614000,632000,633000,-10807,3645,2083,3,-3602.33,38,64,,5,62,51,48
510216,Reece Walsh,2,654000,628000,617963,644788,667053,690621,45,34,28,27,16,11,61,59,59,25,69,654000,626000,628000,26825,22265,23568,16,1676.56,69,25,,20,80,61,45
500024,Daly Cherry-Evans,2,666000,627000,621884,629948,642849,642849,53,45,37,43,25,2,56,57,0,25,59,666000,637000,627000,8064,12901,0,3,2688.0,59,25,,1,62,56,53
502580,James Fisher-Harris,2,582000,626000,627658,640194,650879,659740,36,39,40,17,17,15,49,52,54,67,49,582000,606000,626000,12536,10685,8861,13,964.31,49,67,,43,55,49,36
500826,Jahrome Hughes,2,635000,622000,613669,620080,618776,615908,48,49,49,46,46,42,46,47,45,38,55,635000,623000,622000,6411,-1304,-2868,-2,-3205.5,55,38,,14,80,46,48
506424,Tom Dearden,2,628000,622000,645382,612031,605517,607601,57,55,54,30,32,45,48,47,52,57,29,628000,637000,622000,-33351,-6514,2084,-9,3705.67,29,57,,35,80,48,57
505555,Lindsay Smith,2,670000,617000,631793,594501,580963,576537,65,62,58,2,4,11,45,45,46,32,36,670000,648000,617000,-37292,-13538,-4426,-20,1864.6,36,32,,38,39,45,65
503240,Angus Crichton,2,638000,615000,625880,602629,597162,597162,56,55,52,17,27,1,45,48,0,43,39,638000,631000,615000,-23251,-5467,0,-11,2113.73,39,43,,38,61,45,56
508033,Haumole Olakau'atu,2,608000,614000,626174,614000,616231,618055,48,86,74,1,2,7,0,50,48,54,41,608000,615000,614000,-12174,2231,1824,-48,253.62,41,54,,9,79,0,48
506513,Tino Fa'asuamaleaui,2,668000,613000,638885,591843,585981,589238,68,61,52,13,27,43,49,51,49,34,30,668000,648000,613000,-47042,-5862,3257,-19,2475.89,30,34,,17,48,49,68
506460,Tanah Boyd,2,500000,611000,584885,665344,704160,723959,5,10,15,1,1,2,55,58,55,78,76,500000,542000,611000,80459,38816,19799,50,1609.18,76,78,,36,80,55,5
505985,Zac Hosking,2,648000,607000,617731,591613,581449,586140,61,57,55,12,14,43,47,44,53,35,37,648000,631000,607000,-26118,-10164,4691,-14,1865.57,37,35,,46,38,47,61
500845,Valentine Holmes,2,643000,606000,598700,596155,590423,588339,53,52,51,25,30,33,44,45,45,27,53,643000,618000,606000,-2545,-5732,-2084,-9,282.78,53,27,,46,85,44,53
505628,Stefano Utoikamanu,2,575000,605000,584939,624716,636574,643741,30,33,36,8,12,13,48,48,50,48,66,575000,579000,605000,39777,11858,7167,18,2209.83,66,48,,56,55,48,30
