player_id,name,games_played,start_price,current_price,exact_price_r5,recent_s1,recent_s2,recent_s3,consistency,last_3_tog_avg,proj_score_fc,break_even_fc,proj_price_r6,be_r6,be_pct_r6,proj_score_r6,proj_price_r7,be_r7,be_pct_r7,proj_score_r7,proj_price_r8,be_r8,be_pct_r8,proj_score_r8,score_r4,score_r5,price_r3,price_r4,price_r5,delta_r5_to_r6,delta_r6_to_r7,delta_r7_to_r8,score_vs_be_r6,implied_ppp_r6
504120,Nathan Cleary,5,900000,915000,915000,80,75,60,54,78,68,62,908763,62,35,68,921385,69,45,71,921900,68,47,69,75,80,902000,899000,903000,-6237,12622,515,6,-1039.5
508300,Herbie Farnworth,5,800000,806000,806000,78,67,57,67,80,0,49,786610,49,1,0,806000,103,1,60,817641,95,1,65,67,78,792000,784000,787000,-19390,19390,11641,-49,395.71
502490,Nicholas Hynes,5,700000,784000,784000,78,69,63,60,80,62,46,768276,46,15,62,801179,46,1,0,801179,100,3,70,69,78,737000,743000,757000,-15724,32903,0,16,-982.75
506460,Tanah Boyd,5,500000,761000,761000,43,58,86,29,80,58,58,781936,58,50,58,760322,65,42,61,756335,65,44,62,58,43,611000,695000,750000,20936,-21614,-3987,0,
504274,Blayke Brailey,5,686000,727000,727000,49,51,76,68,80,56,58,735460,58,44,56,723597,59,1,0,723597,105,1,53,51,49,699000,723000,732000,8460,-11863,0,-2,-4230.0
505582,Dylan Lucas,5,723000,727000,727000,51,62,59,75,77,55,57,732059,57,43,55,724168,58,47,57,723396,58,43,56,62,51,726000,725000,731000,5059,-7891,-772,-2,-2529.5
505423,Jackson Ford,5,625000,726000,726000,49,50,81,40,71,54,52,736984,52,45,54,726992,60,42,57,722879,61,35,55,50,49,645000,693000,720000,10984,-9992,-4113,2,5492.0
500534,Isaah Yeo,5,738000,724000,724000,56,53,65,60,65,55,55,726684,55,50,55,723493,57,47,56,722464,58,30,52,53,56,726000,728000,726000,2684,-3191,-1029,0,
504074,Hudson Young,5,766000,718000,718000,45,48,71,62,80,58,66,733528,66,27,58,709140,61,27,53,703222,63,22,53,48,45,752000,750000,739000,15528,-24388,-5918,-8,-1941.0
100007927,Thomas Jenkins,5,504000,713000,713000,64,75,80,11,80,50,32,702954,32,19,50,732476,42,19,60,747012,47,40,52,75,64,562000,609000,668000,-10046,29522,14536,18,-558.11
503528,Jaydn Su'A,5,633000,710000,710000,46,49,77,39,75,53,57,723148,57,39,53,705384,60,39,56,701527,60,37,55,49,46,660000,696000,713000,13148,-17764,-3857,-4,-3287.0
506603,Patrick Carrigan,5,684000,702000,702000,61,66,51,65,80,57,43,697690,43,7,57,716320,44,12,55,723388,47,14,57,66,61,678000,674000,687000,-4310,18630,7068,14,-307.86
501600,Damien Cook,5,629000,689000,689000,41,60,35,47,61,54,67,711043,67,19,54,674627,61,34,55,670771,55,42,52,60,41,710000,707000,708000,22043,-36416,-3856,-13,-1695.62
500826,Jahrome Hughes,5,635000,684000,684000,39,66,73,20,80,53,48,698866,48,40,53,688720,52,44,49,683449,59,37,52,66,39,622000,646000,679000,14866,-10146,-5271,5,2973.2
505904,Harry Grant,5,645000,676000,676000,39,47,44,44,74,53,66,694952,66,16,53,661693,64,18,52,652051,59,35,54,47,39,693000,702000,698000,18952,-33259,-9642,-13,-1457.85
510216,Reece Walsh,5,654000,669000,669000,31,82,50,15,66,0,48,700412,48,2,0,669000,94,5,54,675044,83,8,50,82,31,628000,630000,668000,31412,-31412,6044,-48,-654.42
100007811,Kulikefu Finefeuiaki,5,484000,662000,662000,43,76,55,13,80,0,39,670260,39,1,0,662000,87,1,53,676339,79,5,54,76,43,543000,581000,638000,8260,-8260,14339,-39,-211.79
100001736,Jordan Riki,5,611000,657000,657000,51,54,78,46,80,48,40,656567,40,27,48,664984,47,47,48,664083,55,35,50,54,51,593000,618000,642000,-433,8417,-901,8,-54.12
505894,Jake Clifford,5,561000,656000,656000,89,70,50,30,80,54,10,616653,10,1,54,702561,18,1,55,730221,27,5,55,70,89,552000,557000,590000,-39347,85908,27660,44,-894.25
503685,Erin Clark,5,734000,650000,650000,53,34,58,26,55,50,54,648597,54,40,50,644540,54,37,49,639785,54,35,48,34,53,698000,689000,664000,-1403,-4057,-4755,-4,350.75
505976,Isaiah Papali'i,5,607000,650000,650000,37,59,46,62,70,48,55,671278,55,30,48,641634,58,30,51,635975,55,44,53,59,37,636000,644000,659000,21278,-29644,-5659,-7,-3039.71
501459,Cameron Munster,5,639000,649000,649000,46,36,57,54,80,51,61,657804,61,23,51,638321,57,28,49,632149,56,38,52,36,46,670000,680000,666000,8804,-19483,-6172,-10,-880.4
505628,Stefano Utoikamanu,5,575000,648000,648000,45,46,59,61,55,49,51,655458,51,44,49,646196,55,29,48,639505,56,29,49,46,45,605000,633000,647000,7458,-9262,-6691,-2,-3729.0
100006297,Sualauvi Faalogo,5,467000,640000,640000,41,54,50,18,80,51,48,642294,48,43,51,643168,52,48,53,643168,49,46,47,54,41,548000,595000,631000,2294,874,0,3,764.67
100001936,Hamiso Tabuai-Fidow,5,617000,638000,638000,61,40,34,33,80,0,49,628874,49,1,0,638000,89,1,55,644422,72,4,49,40,61,653000,650000,637000,-9126,9126,6422,-49,186.24
503340,Dylan Edwards,5,614000,634000,634000,70,22,65,19,80,52,45,610737,45,37,52,641320,42,37,49,646463,45,44,48,22,70,633000,649000,627000,-23263,30583,5143,7,-3323.29
502580,James Fisher-Harris,5,582000,633000,633000,36,46,55,48,49,44,59,655524,59,14,44,616380,61,21,50,608153,57,33,51,46,36,626000,643000,649000,22524,-39144,-8227,-15,-1501.6
502363,Jack Williams,5,634000,632000,632000,51,36,53,67,65,49,53,631841,53,32,49,627221,52,32,48,623365,51,45,50,36,51,648000,653000,641000,-159,-4620,-3856,-4,39.75
100006258,Isaiya Katoa,5,706000,628000,628000,40,48,50,75,80,0,56,637461,56,1,0,628000,93,1,47,617719,83,1,46,48,40,676000,660000,647000,9461,-9461,-10281,-56,-168.95
506424,Tom Dearden,5,628000,615000,615000,65,48,48,52,80,46,37,600515,37,29,46,623751,38,31,46,629020,43,38,48,48,65,622000,609000,601000,-14485,23236,5269,9,-1609.44
506314,Beau Fermor,5,672000,610000,610000,54,31,43,70,80,50,53,607337,53,37,50,606979,49,41,47,605821,47,1,0,31,54,665000,652000,622000,-2663,-358,-1158,-3,887.67
