round,player_id,name,positions,price,score,break_even
3,506259,AJ Brimson,4/6,505000,33,55
3,505811,Adam Doueihi,4,599000,47,10
3,500128,Adam Elliott,2,538000,,
3,508026,Adam Pompey,5,393000,,34
3,500086,Adam Reynolds,4,591000,,58
3,500449,Addin Fonua-Blake,2,651000,48,59
3,100007566,Alec MacDonald,2,336000,36,52
3,500108,Alex Johnston,6,467000,33,29
3,504609,Alex Seyfarth,2/3,491000,13,60
3,502532,Alex Twal,2,582000,61,35
3,100006296,Ali Leiataua,5,362000,40,20
3,100001619,Alofiana Khan-Pereira,6,407000,,
3,503240,Angus Crichton,3,615000,43,60
3,100009124,Angus Hinchey,3,230000,,30
3,500109,Apisai Koroisau,1,568000,39,56
3,100009453,Arama Hau,3,302000,52,-4
3,100006239,Ashton Ward,4,381000,,45
3,100004109,Ata Mariota,2,365000,19,29
3,100010528,Ativalu Lisati,3,427000,,-42
3,508071,Aublix Tawha,2,352000,,56
3,505864,Bailey Hayward,1/2,393000,27,14
3,504411,Bailey Simonsson,6,439000,40,50
3,506314,Beau Fermor,3,665000,43,53
3,500257,Ben Hunt,4,450000,43,44
3,504573,Ben Talty,2,297000,20,37
3,507850,Ben Trbojevic,3,520000,,28
3,100007527,Benaiah Ioelu,1,342000,,22
3,505413,Billy Burns,3,430000,38,40
3,100008487,Billy Phillips,3,274000,17,6
3,509128,Billy Smith,5,423000,,21
3,100006848,Blaize Talagi,4,444000,50,27
3,503440,Blake Lawrie,2,335000,28,
3,100009156,Blake Mozer,1,250000,,
3,100006533,Blake Steep,2/3,400000,18,43
3,506375,Blake Wilson,6,250000,,
3,504274,Blayke Brailey,1,699000,76,48
3,100002660,Brad Schneider,4,364000,20,13
3,500213,Braden Hamlin-Uele,2,318000,,36
3,506682,Bradman Best,5,565000,35,49
3,506040,Braidon Burns,6,566000,27,38
3,503419,Brandon Smith,1/2,300000,,
3,504307,Brandon Wakeham,4/1,341000,,33
3,504321,Braydon Trindall,4,475000,50,15
3,510228,Brendan Piakura,3,313000,25,
3,506618,Brent Woolf,1,230000,,20
3,500872,Brian Kelly,5,500000,,42
3,505410,Brian To'o,6,512000,28,42
3,507062,Briton Nikora,3,559000,55,34
3,500168,Bronson Garlick,1,342000,14,44
3,504714,Bronson Xerri,5,428000,,30
3,501744,Bunty Afoa,2,280000,,
3,500180,Cameron McInnes,2,647000,,
3,501459,Cameron Munster,4,670000,57,40
3,504176,Cameron Murray,2,721000,49,57
3,504294,Campbell Graham,5/6,463000,,23
3,100011678,Casey McLean,5,459000,28,41
3,506851,Chanel Harris-Tavita,4,470000,,63
3,100006434,Charlie Guymer,3,415000,-1,
3,501559,Charnze Nicoll-Klokstad,6,486000,,37
3,100007297,Chevy Stewart,6,250000,,
3,100001349,Chris Randall,1/2,476000,40,37
3,100003194,Christian Tuipulotu,6,475000,43,53
3,100000346,Clayton Faulalo,6,374000,,
3,500729,Clinton Gutherson,6,465000,36,55
3,100011256,Cody Hopwood,2,250000,,
3,509404,Cody Ramsey,6,250000,,
3,500611,Cody Walker,4,386000,22,16
3,500405,Coen Hess,2,455000,30,41
3,507949,Connelly Lemuelu,3,504000,68,10
3,502015,Connor Tracey,6,502000,66,36
3,503327,Connor Watson,1/2,542000,45,78
3,100014512,Cooper Bai,2,261000,19,10
